cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,avg_life_Q1,avg_life_Q2,avg_life_Q3,avg_life_Q4,avg_life_M,avg_life_F,avg_life_all
32403,Snyder,26918,48,Texas,TX,82.755966,81.603508,79.69593,79.848633,86.790619,86.793503,87.248909,87.306236,73.98452,72.887192,75.995132,76.041733,82.544884,82.53968,86.248604,86.41111,77.8077965,77.895357,84.6671715,86.80371475,79.58160688,84.005413,81.79350994
32501,Abilene,191518,48,Texas,TX,80.441071,80.214561,82.669197,82.616196,84.936783,85.148056,87.763161,88.031181,75.493103,75.324265,80.350655,80.30545,82.664856,82.928497,82.931717,83.350128,77.86825,81.4853745,83.919548,85.51904675,80.41858388,83.97752575,82.19805481
32601,Wichita Falls,151524,48,Texas,TX,79.002388,79.183868,81.983971,82.087334,84.177536,84.331062,87.448502,87.602287,73.875282,74.133911,79.095055,79.224098,81.582291,81.810013,85.509758,85.703323,76.54886225,80.5976145,82.9752255,86.5659675,80.11671638,83.2271185,81.67191744
32602,Graham,28556,48,Texas,TX,81.159218,81.19162,84.238503,84.623016,83.081902,83.544624,85.748032,85.969765,75.8451,75.850113,81.258606,81.701233,82.316177,82.733543,84.276085,84.440094,78.51151275,82.9553395,82.9190615,85.108494,81.05261888,83.694585,82.37360194
32701,Brownwood,58246,48,Texas,TX,80.682236,80.517845,82.144096,82.255997,82.342453,82.758423,88.14537,88.386238,76.08757,75.818459,80.681938,80.704872,84.27359,84.530464,82.197762,82.577286,78.2765275,81.44672575,83.4762325,85.326664,80.85899263,83.40408225,82.13153744
32702,Stephenville,55256,48,Texas,TX,82.160828,82.020576,84.804459,85.048782,85.130051,85.4757,86.334625,86.667587,77.498474,77.243156,80.986252,81.268333,83.037094,83.398628,83.113556,83.489182,79.7307585,83.0269565,84.26036825,84.9012375,81.25433438,84.705326,82.97983019
32801,Waco,281618,48,Texas,TX,79.760979,80.131958,83.766441,83.902199,85.629364,85.799347,87.178986,87.295273,75.364868,75.624847,78.96907,79.076256,81.770691,81.938927,84.332817,84.557663,77.720663,81.4284915,83.78458225,85.84118475,80.20439238,84.18306838,82.19373038
32802,Corsicana,100377,48,Texas,TX,80.650047,81.343124,83.275093,83.563484,84.080872,84.399506,88.91938,89.094055,75.943413,76.567162,79.106613,79.361504,80.091309,80.439987,82.158661,82.520126,78.6259365,81.3266735,82.2529185,85.6730555,79.52359688,84.41569513,81.969646
32900,Killeen,330714,48,Texas,TX,81.273087,80.776863,83.080063,82.825394,84.615486,84.64624,86.838654,86.826439,75.357887,75.406517,78.863991,78.859642,81.29425,81.522186,84.954292,85.110306,78.2035885,80.9072725,83.0195405,85.93242275,80.17113388,83.86027825,82.01570606
33000,Fort Worth,1804370,48,Texas,TX,81.276649,81.19738,83.013748,83.017731,85.015343,84.94767,87.268852,87.321808,75.877419,75.819656,78.759392,78.772247,81.758926,81.747971,84.763428,84.880722,78.542776,80.8907795,83.3674775,86.0587025,80.29747013,84.13239763,82.21493388
33100,Dallas,3405666,48,Texas,TX,82.057144,81.984909,83.966507,83.705421,85.713211,85.514122,87.641769,87.602203,77.476173,77.348366,79.619553,79.393738,81.984879,81.863731,85.180702,85.234955,79.716648,81.67130475,83.76898575,86.41490725,81.01276213,84.77316075,82.89296144
33200,Paris,185835,48,Texas,TX,79.85524,80.440712,83.935982,84.286934,84.796158,85.177399,86.836807,87.13826,74.880608,75.457764,77.747704,78.164543,82.846626,83.182747,82.81086,83.189529,77.658581,81.03379075,84.0007325,84.993864,79.78504763,84.0584365,81.92174206
33300,Tyler,434643,48,Texas,TX,81.425392,81.928276,83.709274,84.094414,85.995804,86.293968,87.281998,87.608208,75.539902,76.063423,79.170708,79.564514,81.806068,82.168007,84.373795,84.709068,78.73924825,81.6347275,84.06596175,85.99326725,80.42443563,84.79216675,82.60830119
33400,Longview,289849,48,Texas,TX,81.285172,82.131691,83.605309,84.100838,84.946365,85.287247,86.729179,87.090843,74.403725,75.321198,79.093582,79.637413,82.348129,82.700188,83.934204,84.327469,78.2854465,81.6092855,83.82048225,85.52042375,80.2207385,84.3970805,82.3089095
